State,ActName,Category,Promulgated,Prom_Decade,Enacted,Enact_Decade
Ohio,Child Custody Jurisdiction and Enforcement,Children,1997,,2005,
Oklahoma,Child Custody Jurisdiction and Enforcement,Children,1997,,1998,
Oregon,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Pennsylvania,Child Custody Jurisdiction and Enforcement,Children,1997,,2004,
Rhode Island,Child Custody Jurisdiction and Enforcement,Children,1997,,2003,
South Carolina,Child Custody Jurisdiction and Enforcement,Children,1997,,2007,
South Dakota,Child Custody Jurisdiction and Enforcement,Children,1997,,2005,
Tennessee,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
Texas,Child Custody Jurisdiction and Enforcement,Children,1997,,1999,
U.S. Virgin Islands,Child Custody Jurisdiction and Enforcement,Children,1997,,2005,
Utah,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Vermont,Child Custody Jurisdiction and Enforcement,Children,1997,,2011,
Virginia,Child Custody Jurisdiction and Enforcement,Children,1997,,2001,
Washington,Child Custody Jurisdiction and Enforcement,Children,1997,,2001,
West Virginia,Child Custody Jurisdiction and Enforcement,Children,1997,,2000,
Wisconsin,Child Custody Jurisdiction and Enforcement,Children,1997,,2006,
Wyoming,Child Custody Jurisdiction and Enforcement,Children,1997,,2005,
District of Columbia,Collaborative Law,,2009,,2012,
Hawaii,Collaborative Law,,2009,,2012,
Ohio,Collaborative Law,,2009,,2013,
Utah,Collaborative Law,,2009,,2010,
Alabama,Collaborative Law,,2010,,2013,
Nevada,Collaborative Law,,2010,,2011,
Texas,Collaborative Law,,2010,,2011,
Washington,Collaborative Law,,2010,,2013,
North Carolina,Collateral Consequences of Conviction,,2010,,2011,
Alaska,Common Interest Ownership,,1982,,1985,
Colorado,Common Interest Ownership,,1982,,1983,
Connecticut,Common Interest Ownership,,1982,,1983,
Minnesota,Common Interest Ownership,,1982,,1993,
Nevada,Common Interest Ownership,,1982,,1991,
West Virginia,Common Interest Ownership,,1982,,1986,
Connecticut,Common Interest Ownership,,1994,,1995,
Vermont,Common Interest Ownership,,1994,,1998,
Connecticut,Common Interest Ownership,,2008,,2009,
Delaware,Common Interest Ownership,,2008,,2009,
Vermont,Common Interest Ownership,,2008,,2010,
Maryland,Computer Information Transactions,,1999,,2000,
Virginia,Computer Information Transactions,,1999,,2000,
Arizona,Condominium,Real Estate,1977,,1985,
Louisiana,Condominium,Real Estate,1977,,1979,
Maine,Condominium,Real Estate,1977,,1982,
Minnesota,Condominium,Real Estate,1977,,1980,
Missouri,Condominium,Real Estate,1977,,1983,
Nebraska,Condominium,Real Estate,1977,,1983,
New Mexico,Condominium,Real Estate,1977,,1982,
North Carolina,Condominium,Real Estate,1977,,1986,
Pennsylvania,Condominium,Real Estate,1977,,1980,
Rhode Island,Condominium,Real Estate,1977,,1982,
Texas,Condominium,Real Estate,1977,,1993,
Virginia,Condominium,Real Estate,1977,,1982,
Washington,Condominium,Real Estate,1977,,1989,
West Virginia,Condominium,Real Estate,1977,,1980,
Kentucky,Condominium,Real Estate,1980,,2010,
Alabama,Conservation Easement,Real Estate,1981,,1997,
Alaska,Conservation Easement,Real Estate,1981,,1989,
Arizona,Conservation Easement,Real Estate,1981,,1985,
Arkansas,Conservation Easement,Real Estate,1981,,1983,
Delaware,Conservation Easement,Real Estate,1981,,1996,
District of Columbia,Conservation Easement,Real Estate,1981,,1986,
Idaho,Conservation Easement,Real Estate,1981,,1988,
Indiana,Conservation Easement,Real Estate,1981,,1984,
Kansas,Conservation Easement,Real Estate,1981,,1992,
Kentucky,Conservation Easement,Real Estate,1981,,1988,
Maine,Conservation Easement,Real Estate,1981,,1985,
Minnesota,Conservation Easement,Real Estate,1981,,1985,
Mississippi,Conservation Easement,Real Estate,1981,,1986,
